species,country_of_origin,altitude_mean_meters,harvest_year,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,sweetness,moisture,clean_cup,quakers,category_one_defects,category_two_defects,total_cup_points,predicted_score,error,shap_aroma,shap_flavor,shap_aftertaste,shap_acidity,shap_body,shap_balance,shap_uniformity,shap_sweetness,shap_moisture,shap_clean_cup,shap_quakers,shap_category_one_defects,shap_category_two_defects,top_feature
Arabica,Guatemala,1500.0,2014,Washed,7.42,7.42,7.5,7.5,7.42,7.5,10.0,10.0,0.09,10.0,0,0,4,82.17,82.24652253968247,0.0765225396824718,-0.1460290323909148,-0.08964105123027691,0.0841516851116241,-0.02552619708714303,-0.09194169852087812,-0.02083409802034508,0.099202650700249,0.09381480891627009,0.011080984630806723,0.16098643910861776,-0.0007756506674867807,0.0015298874494925163,-0.0022657521803946517,clean_cup
Arabica,Mexico,1400.0,2013,Washed,7.5,7.42,7.08,7.58,7.33,7.33,10.0,10.0,0.12,10.0,0,0,6,81.67,81.63963333333344,-0.03036666666656629,-0.023239802244144334,-0.12552685068508843,-0.24637733572911039,0.06096254036487709,-0.10353159308428153,-0.43952638636424785,0.08937840371987955,0.08942767458678341,0.0007112192247230988,0.16251753087564966,-0.0010015913025368764,0.0007739471201490796,0.0022960129877537126,balance
Arabica,Mexico,1400.0,2012,Washed,7.67,7.25,7.17,7.75,7.5,7.25,10.0,10.0,0.11,10.0,0,0,4,81.67,81.35319999999993,-0.3168000000000717,0.15413202062662407,-1.4751780370703562,0.10820102608396143,0.13774363964379877,0.06444186093146878,-0.4689512110945915,0.1411200031406449,0.07606035142297105,-0.004808402223129118,0.43317860252215346,0.001137146223349876,0.005559929652263296,0.007793506277920669,flavor
Arabica,Mexico,1200.0,2014,Washed,7.08,7.08,6.92,7.08,6.92,6.92,8.0,8.0,0.0,8.0,0,1,1,72.92,74.44099999999979,1.5209999999997876,-0.009300848280682063,-2.8283223754479856,-0.39027878715987374,-0.03126512709809389,-0.22347832669496964,-0.38952215636446097,-0.593542258559275,-0.37845780008576185,-0.019228629626164413,-2.934000846550872,0.0007476367762340305,0.011784839854534556,0.05309511537449287,clean_cup
Arabica,Mexico,1300.0,2017,Washed,7.83,7.83,7.58,7.92,7.42,7.5,10.0,10.0,0.11,10.0,0,0,5,83.92,83.57529999999996,-0.34470000000004575,0.12808997071489717,1.0174972916558644,0.10703697585802842,0.16395177902630398,-0.11192055655143647,-0.2284372841706011,0.08647028205501162,0.09485978315001846,0.0010778091730206446,0.13843716419470292,0.0009817317030279657,0.002180989045197761,0.0023045002830562847,flavor
Robusta,India,1000.0,2015,Natural,7.92,7.83,7.92,8.0,7.83,7.92,10.0,7.83,0.0,10.0,0,0,0,83.25,83.5342,0.28419999999999845,0.14068216791114566,0.943494924664407,0.8027595519690252,0.07377553435208878,0.0979931572908696,0.4930615185689223,0.08730683781403052,-1.4125272506525,0.007452946353916988,0.13917248874415744,0.0009080995756287424,-0.006072567614748635,-0.00657697283990257,sweetness
Arabica,"Tanzania, United Republic Of",1800.0,2014,Washed,7.42,7.42,7.33,7.42,7.42,7.33,10.0,10.0,0.12,10.0,0,0,5,81.58,81.63516666666659,0.055166666666593756,-0.07446991688002028,-0.13199808934071006,-0.10293447213306506,-0.06908275041174357,-0.05346577897481688,-0.43528709179930436,0.08539759876202249,0.08482480089356807,0.0034034251415760025,0.15851401020440348,-0.0007600186842122008,0.0006429607513788538,-0.0023875747253333172,balance
Arabica,Colombia,1750.0,2012,Washed,7.5,7.42,7.67,7.33,7.58,7.33,10.0,10.0,0.12,10.0,0,0,1,82.25,82.24383333333338,-0.006166666666615583,-0.022280552782621837,-0.10787479138190625,0.3779470810395988,-0.16405070372661673,0.0922663055783654,-0.45355784462053383,0.09395964370461563,0.08762463132454697,0.0013306850573580136,0.15759849080206378,0.0001505789312029349,0.0022601545447401266,0.00569009099960711,balance
Arabica,Guatemala,399.48307200000005,2013,Washed,6.5,6.33,6.5,7.5,7.33,6.83,8.67,8.67,0.11,10.0,0,1,1,74.33,76.26023333333339,1.9302333333333905,-0.36688582805808545,-2.5542051726323662,-1.5136773673854393,0.05963742839604973,-0.02783853855881381,-0.8044932304493342,-0.6384160772764796,-0.4526257791050275,-0.009427675348354399,0.34109614856287407,0.0002734669660096994,0.014544705028101889,0.039481689331287026,flavor
Arabica,Brazil,,2016,Natural,7.42,7.42,7.42,7.5,7.5,7.58,10.0,10.0,0.11,10.0,4,0,14,82.33,82.30513333333343,-0.02486666666656845,-0.1326676149807493,-0.09631975630380578,0.0012617608919145162,-0.0582044277619415,-0.06675304471980428,0.15655139670757764,0.09646122079474591,0.09822345267746958,-0.001975346300932671,0.1621640281524604,-0.010800251598915121,0.001954183347128122,-0.017531831434714665,clean_cup
Arabica,Brazil,1.0,2015,Natural,7.25,7.25,7.58,7.58,7.25,7.92,10.0,10.0,0.0,10.0,0,0,1,82.08,82.16243333333352,0.0824333333335261,-0.18114392950459796,-1.6669977658722293,0.42309558183346857,0.14516805889258425,-0.15699268911253114,0.7196303211179392,0.17524906435552667,0.07983115782754077,0.027238730582854392,0.4117975837202361,0.0014827594705180652,0.003921364538034376,0.007383531621082409,flavor
Arabica,Colombia,1600.0,2014,Washed,7.83,7.67,7.5,7.58,7.5,7.67,10.0,10.0,0.0,10.0,0,0,1,82.83,83.41899999999994,0.5889999999999418,0.17162773092871114,0.48912851795872514,8.36855207296581e-05,-0.03698380677068661,-0.08521009391873616,0.35597453840684623,0.0960558996563067,0.09818441532451189,0.013540943914544036,0.137609545567808,0.0015320610740200827,0.002380222559878332,0.002306775914398543,flavor
