,species,country_of_origin,altitude_mean_meters,harvest_year,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,sweetness,moisture,clean_cup,quakers,category_one_defects,category_two_defects,total_cup_points
0,Arabica,Ethiopia,2075.0,2014,Washed,8.67,8.83,8.67,8.75,8.5,8.42,10.0,10.0,0.12,10.0,0,0,0,90.58
1,Arabica,Ethiopia,2075.0,2014,Washed,8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,0.12,10.0,0,0,1,89.92
2,Arabica,Guatemala,1700.0,,Washed,8.42,8.5,8.42,8.42,8.33,8.42,10.0,10.0,0.0,10.0,0,0,0,89.75
3,Arabica,Ethiopia,2000.0,2014,Natural,8.17,8.58,8.42,8.42,8.5,8.25,10.0,10.0,0.11,10.0,0,0,2,89.0
4,Arabica,Ethiopia,2075.0,2014,Washed,8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,0.12,10.0,0,0,2,88.83
5,Arabica,Brazil,,2013,Natural,8.58,8.42,8.42,8.5,8.25,8.33,10.0,10.0,0.11,10.0,0,0,1,88.83
6,Arabica,Peru,,2012,Washed,8.42,8.5,8.33,8.5,8.25,8.25,10.0,10.0,0.11,10.0,0,0,0,88.75
7,Arabica,Ethiopia,1635.0,2010,Natural,8.25,8.33,8.5,8.42,8.33,8.5,10.0,9.33,0.03,10.0,0,0,0,88.67
8,Arabica,Ethiopia,1635.0,2010,Natural,8.67,8.67,8.58,8.42,8.33,8.42,9.33,9.33,0.03,10.0,0,0,0,88.42
9,Arabica,Ethiopia,1822.5,2014,Natural,8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,0.1,10.0,0,0,4,88.25
10,Arabica,Ethiopia,1905.0,2014,Natural,8.17,8.67,8.25,8.5,7.75,8.17,10.0,10.0,0.1,10.0,0,0,1,88.08
11,Arabica,United States,1872.0,2014,Washed,8.25,8.42,8.17,8.33,8.08,8.17,10.0,10.0,0.0,10.0,0,0,0,87.92
12,Arabica,United States,1943.0,2014,Washed,8.08,8.67,8.33,8.42,8.0,8.08,10.0,10.0,0.0,10.0,0,0,0,87.92
